飞跃巅峰！剧场版,7.7,(451人评分)
电影 STAR☆TWINKLE 光之美少女 满怀想念的星之歌,7.9,(129人评分)
飞跃巅峰2！剧场版,7.7,(457人评分)
请问您今天要来点兔子吗？BLOOM,7.7,(1481人评分)
头文字D,7.7,(1730人评分)
马男波杰克5,8.0,(80人评分)
空中杀手,7.7,(1619人评分)
忏・再见绝望先生 番外地,7.7,(756人评分)
草莓棉花糖 OVA 第2期,7.7,(1035人评分)
只有我不存在的城市,7.7,(5845人评分)
平成狸合战,7.7,(1049人评分)
悲伤的贝拉多娜,7.8,(268人评分)
查理布朗和史努比,7.8,(273人评分)
末日时在做什么？有没有空？可以来拯救吗？,7.7,(5223人评分)
铁臂阿童木,7.7,(670人评分)
向阳素描×☆☆☆,7.7,(847人评分)
南方公园 第11季,7.8,(158人评分)
最终幻想VII：降临之子,7.7,(2797人评分)
BACK ARROW,7.7,(1734人评分)
圣斗士星矢 冥王十二宫编,7.7,(985人评分)
飞出个未来 第7季,8.1,(55人评分)
来自深渊 漂泊之黄昏,7.7,(435人评分)
名侦探柯南,7.7,(5261人评分)
第一神拳 New Challenger,7.9,(124人评分)
齐木楠雄的灾难,7.7,(5948人评分)
好想告诉你,7.7,(3868人评分)
灰羽联盟,7.7,(1438人评分)
南家三姐妹,7.7,(4244人评分)
小魔女DoReMi ♯,7.8,(231人评分)
路人女主的养成方法 Fine,7.7,(2341人评分)
幻想万华镜 春雪异变之章,7.7,(1879人评分)
秀逗魔导士TRY,7.7,(618人评分)
飞出个未来 第2季,8.0,(76人评分)
CLANNAD 另一个世界 智代篇,7.7,(3914人评分)
光之美少女全明星DX3 传达到未来！连结世界☆彩虹之花！,7.8,(226人评分)
摇曳百合♪♪,7.7,(4077人评分)
北斗神拳,7.7,(494人评分)
罗德斯岛战记,7.7,(671人评分)
浪客剑心,7.7,(1503人评分)
南方公园 第12季,7.9,(121人评分)
星界的战旗II,7.7,(274人评分)
异兽魔都,7.7,(1646人评分)
